City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
2318123,Yenagoa,NG,4.92,6.26,88.34,67,94,9.15
1581130,Hanoi,VN,21.02,105.84,82.4,83,75,11.41
1623197,Tual,ID,-5.67,132.75,83.53,80,90,22.73
1626542,Sorong,ID,-0.88,131.25,82.8,82,94,10.22
3668605,Santa Marta,CO,11.24,-74.2,86.0,64,100,8.32
286621,Salalah,OM,17.02,54.09,87.8,74,40,11.41
1696188,Palauig,PH,15.44,119.9,83.35,69,5,3.42
2092164,Lorengau,PG,-2.02,147.27,83.01,79,71,7.7
4459343,Carrboro,US,35.91,-79.08,78.21,64,16,5.21
3948613,Acarí,PE,-15.43,-74.62,75.63,47,48,6.46
3579925,St. George's,GD,12.06,-61.75,86.0,70,20,17.22
4035249,Lufilufi,WS,-13.87,-171.6,80.01,94,45,3.0
341877,Bodītī,ET,6.97,37.87,66.36,84,21,5.17
2212775,Sabha,LY,27.04,14.43,102.25,7,0,3.2
1259385,Port Blair,IN,11.67,92.75,83.46,79,100,14.76
3456277,Nobres,BR,-14.72,-56.33,80.11,59,0,5.23
777019,Vardø,NO,70.37,31.11,41.0,75,75,14.99
108410,Riyadh,SA,24.69,46.72,102.2,11,41,9.17
1648082,Boyolangu,ID,-8.12,111.89,77.94,88,100,7.2
3904906,Santa Cruz de la Sierra,BO,-17.8,-63.17,74.52,50,64,8.05
5969025,Haines Junction,CA,60.75,-137.51,46.24,65,86,2.66
1855363,Nirasaki,JP,35.7,138.45,59.0,98,100,1.72
2209055,Waddān,LY,29.16,16.14,104.16,7,0,15.28
2388614,Boda,CF,4.32,17.47,87.51,64,61,2.04
77408,Bajil,YE,15.06,43.29,95.22,35,8,4.9
529368,Marfino,RU,55.7,37.38,57.2,44,41,8.95
2121025,Srednekolymsk,RU,67.45,153.68,38.88,77,0,6.04
6100069,Peace River,CA,56.25,-117.29,47.91,75,75,3.36
2629833,Husavik,IS,66.04,-17.34,42.8,52,75,21.92
1688781,City of San Pedro,PH,14.35,121.02,82.44,88,20,4.7
5546220,Saint George,US,37.1,-113.58,70.43,30,1,6.93
